Lojas Americanas SA,33.014.556/0098-19,Encontrado
Mahle-Metal Leve SA,60.476.884/0004-20,Encontrado
Light SA,03.378.521/0001-75,Encontrado
LE LIS BLANC ON NM,03.082.929/0001-03,Encontrado
Log-in Logistica Intermodal SA,,Não Encontrado
LPS Brasil Consultoria de Imoveis,08.078.847/0001-09,Encontrado
Lojas Renner SA,92.754.738/0135-74,Encontrado
Lupatech SA,89.463.822/0003-84,Encontrado
M Dias Branco SA,,Não Encontrado
Mangels Industrial SA,61.065.298/0001-02,Encontrado
Magazine Luiza SA,47.960.950/0001-21,Encontrado
MILLS ON EJ NM,27.093.558/0001-15,Encontrado
MMX Mineracao e Metalicos SA,,Não Encontrado
Eneva SA,,Não Encontrado
Marfrig Alimentos SA,03.853.896/0009-05,Encontrado
MRV Engenharia e Participacoes SA,08.343.492/0037-30,Encontrado
Metalgrafica Iguacu SA,,Não Encontrado
Multiplan SA,,Não Encontrado
Iochpe-Maxion SA,61.156.113/0006-80,Encontrado
Natura Cosmeticos SA,,Não Encontrado
Odontoprev SA,58.119.199/0001-51,Encontrado
OSX Brasil SA,,Não Encontrado
Companhia Brasileira deDistribuicao,47.508.411/0483-53,Encontrado
PDG Realty SA,,Não Encontrado
Petroleo Brasileiro SA,33.000.167/0001-01,Encontrado
Petroleo Brasileiro SA PN,33.000.167/0001-01,Encontrado
PROFARMA ON NM,45.453.214/0001-51,Encontrado
Banco Pine SA,62.144.175/0001-20,Encontrado
Plascar Participacoes Industriais,,Não Encontrado
Paranapanema SA,60.398.369/0004-79,Encontrado
Marcopolo SA,,Não Encontrado
Marcopolo SA,,Não Encontrado
Positivo Informatica SA,,Não Encontrado
Porto Seguro SA,,Não Encontrado
Portobello SA,,Não Encontrado
Pettenati SA Industria Textil,,Não Encontrado
Enauta Participacoes SA,,Não Encontrado
Qualicorp SA,11.992.680/0001-93,Encontrado
Randon Participacoes SA,89.086.144/0001-16,Encontrado
Randon Participacoes SA,89.086.144/0001-16,Encontrado
Rodobens Negocios Imobiliarios SA,67.010.660/0001-24,Encontrado
Localiza Rent a Car SA,16.670.085/0001-55,Encontrado
Pomifrutas SA,86.550.951/0001-50,Encontrado
Renova Energia SA Unit,08.534.605/0001-74,Encontrado
Industrias Romi SA,,Não Encontrado
Rossi Residencial SA,,Não Encontrado
Banco Santander Brasil SA Unit,90.400.888/0001-42,Encontrado
Cia de Saneamento Basico do Estado,43.776.517/0985-62,Encontrado
SAO CARLOS ON NM,29.780.061/0001-09,Encontrado
Springs Global Participacoes SA,,Não Encontrado
T4F Entretenimento SA,,Não Encontrado
SLC Agricola SA,,Não Encontrado
Saraiva SA Livreiros Editores,,Não Encontrado
Sao Martinho SA,51.466.860/0001-56,Encontrado
Sul America SA,29.978.814/0001-87,Encontrado
Engie Brasil Energia SA,02.474.103/0022-43,Encontrado
Tecnisa SA,08.065.557/0001-12,Encontrado
Technos SA,,Não Encontrado
Teka Tecelagem Kuehnrich SA,82.636.986/0001-55,Encontrado
Tegma Gestao Logistica,02.351.144/0031-33,Encontrado
Tim Participacoes SA,,Não Encontrado
Totvs SA,53.113.791/0001-22,Encontrado
TRIUNFO PART ON NM,03.014.553/0001-91,Encontrado
Trisul SA,,Não Encontrado
TAESA UNT N2,07.859.971/0001-30,Encontrado
CTEEP Cia de Transmissao de Energia,02.998.611/0001-04,Encontrado
Tarpon Investimentos SA,,Não Encontrado
Ultrapar Participacoes SA,,Não Encontrado
Unipar Carbocloro SA,33.958.695/0003-30,Encontrado
Unipar Carbocloro SA,33.958.695/0003-30,Encontrado
Usinas Siderurgicas de Minas Gerais,60.894.730/0025-82,Encontrado
Usinas Siderurgicas de Minas Gerais,60.894.730/0025-82,Encontrado
Terra Santa Agro SA,40.337.136/0001-06,Encontrado
Vale SA,33.592.510/0001-54,Encontrado
Viver Incorporadora e Construtora,,Não Encontrado
Telefonica Brasil SA,02.558.157/0001-62,Encontrado
Telefonica Brasil SA,02.558.157/0001-62,Encontrado
VALID ON NM,33.113.309/0001-47,Encontrado
WEG SA,84.429.695/0001-11,Encontrado
BANRISUL PNA N1,92.702.067/0001-96,Encontrado
Cia Energetica de Sao Paulo,,Não Encontrado
ELETROPAULO ON N2,61.695.227/0001-93,Encontrado
Banco Santander Brasil SA,90.400.888/0001-42,Encontrado
Santos Brasil Participacoes SA,02.762.121/0009-53,Encontrado
CCX Carvao da Colombia SA,,Não Encontrado
Cia Energetica de Sao Paulo,,Não Encontrado
Grazziotin SA,92.012.467/0001-70,Encontrado
Celesc SA,08.336.804/0001-78,Encontrado
Cia Energetica do Ceara,07.047.251/0001-70,Encontrado
Taurus Armas ON,92.781.335/0001-02,Encontrado
Cogna Educacao,,Não Encontrado
Cia de Locacao das Americas,10.215.988/0166-78,Encontrado
Raia Drogasil SA,,Não Encontrado
UNICASA Industria de Moveis SA,,Não Encontrado
Alupar Investimento SA Unit,92.880.749/0001-99,Encontrado
Anima ON,,Não Encontrado
BB Seguridade Participacoes SA,,Não Encontrado
Biosev ON,,Não Encontrado
Cpfl Renovav ON,,Não Encontrado
Cvc Brasil ON,10.760.260/0001-19,Encontrado
Linx ON,54.517.628/0001-98,Encontrado
Ser Educa ON,,Não Encontrado
Smiles Fidelidade SA,05.730.375/0001-20,Encontrado
Tupy ON,,Não Encontrado
Senior Solution SA,53.501.771/0001-29,Encontrado
Biomm On,04.752.991/0001-10,Encontrado
Klabin Unt,89.637.490/0001-45,Encontrado
Nutriplant,,Não Encontrado
Banco da Amazonia SA ON,04.902.979/0001-44,Encontrado
CSHG Brasil Shopping,08.431.747/0001-06,Encontrado
CSHG JHSF Prime Offices,11.260.134/0001-68,Encontrado
Mercantil do Brasil,17.184.037/0001-10,Encontrado
Tecnosolo Engenharia SA ON,,Não Encontrado
FII ABC IMOB,01.201.140/0001-90,Encontrado
Fdo Inv Imob Rio Bravo Renda Educacional,13.873.457/0001-52,Encontrado
FII BB PRGII,14.410.722/0001-29,Encontrado
FII BB CORP,12.681.340/0001-04,Encontrado
FII C JARDIM,10.347.985/0001-80,Encontrado
FII ABSOLUTO,17.324.357/0001-28,Encontrado
FII BC FUND,08.924.783/0001-01,Encontrado
FII C TEXTIL,00.762.723/0001-28,Encontrado
FII CX TRX,12.887.506/0001-43,Encontrado
FII EUROPAR,05.437.916/0001-27,Encontrado
FII Rio Bravo Renda Corporativa,,Não Encontrado
FII GEN SHOP,17.590.518/0001-25,Encontrado
FII FATORFIX,17.329.029/0001-14,Encontrado
FII S F LIMA,04.141.645/0001-03,Encontrado
FII A BRANCA,03.251.720/0001-18,Encontrado
FII GWI RI,14.733.211/0001-48,Encontrado
FII CSHG CRI,11.160.521/0001-22,Encontrado
FII CSHG LOG,11.728.688/0001-47,Encontrado
FII HG REAL,09.072.017/0001-29,Encontrado
FII JS REAL,,Não Encontrado
FII KINEA RI,16.706.958/0001-32,Encontrado
FII KII REAL,14.423.780/0001-97,Encontrado
FII KINEA,12.005.956/0001-65,Encontrado
FII MAXI REN,97.521.225/0001-25,Encontrado
FII THE ONE,12.948.291/0001-23,Encontrado
FII D PEDRO,59.281.253/0001-23,Encontrado
FII P VARGAS,11.281.322/0001-72,Encontrado
FII JHSF FBV,,Não Encontrado
FII RIOBRCIB,03.683.056/0001-86,Encontrado
FII RB GSB I,13.652.006/0001-95,Encontrado
FII RB II,09.006.914/0001-34,Encontrado
FII RIOBCRI2,15.769.670/0001-44,Encontrado
FII RD ESCRI,14.793.782/0001-78,Encontrado
FII BB R PAP,,Não Encontrado
FII RIONEGRO,72.600.026/0001-81,Encontrado
FII SANT AGE,16.915.840/0001-14,Encontrado
FII SDI LOG,16.671.412/0001-93,Encontrado
FII HIGIENOP,03.507.519/0001-59,Encontrado
FII SP DOWNT,15.538.445/0001-05,Encontrado
FII TBOFFICE,17.365.105/0001-47,Encontrado
FII TRX LOG,,Não Encontrado
FII OLIMPIA,15.296.696/0001-12,Encontrado
FII FATOR VE,11.664.201/0001-00,Encontrado
FII XP MACAE,72.600.026/0001-81,Encontrado
FII TRXE COR,15.006.267/0001-63,Encontrado
Banco Santander SA B3,90.400.888/0001-42,Encontrado
Somos Educacao SA,,Não Encontrado
Fras Le SA,,Não Encontrado
Duke Energy Intl Geracao Para,02.998.301/0001-81,Encontrado
Ouro Fino Saude Animal Particip,,Não Encontrado
Cosan Logistica SA,17.346.997/0001-39,Encontrado
Tec Toy SA,,Não Encontrado
Apple Inc BDR,,Não Encontrado
Abbott Laboratories BDR,56.998.701/0001-16,Encontrado
Amgen Inc BDR,,Não Encontrado
Amazon.com Inc BDR,,Não Encontrado
ArcelorMittal BDR,00.000.000/0000-00,Encontrado
AT&T Inc BDR,,Não Encontrado
American Express Co BDR,00.000.000/0000-00,Encontrado
Berkshire Hathaway Inc BDR,,Não Encontrado
Bank of America Corp BDR,00.000.000/0000-00,Encontrado
Caterpillar Inc BDR,,Não Encontrado
Comcast Corp BDR,,Não Encontrado
The Coca-Cola Co BDR,,Não Encontrado
Cisco Systems Inc BDR,00.000.000/0000-00,Encontrado
Walt Disney Co BDR,,Não Encontrado
Exxon Mobil Corp BDR,00.000.000/0000-00,Encontrado
Ford Motor Co BDR,,Não Encontrado
General Electric Co BDR,00.000.000/0000-00,Encontrado
Goldman Sachs Group BDR,00.000.000/0000-00,Encontrado
Halliburton Co BDR,00.000.000/0000-00,Encontrado
Home Depot Inc BDR,00.000.000/0000-00,Encontrado
Hewlett-Packard Co BDR,00.000.000/0000-00,Encontrado
Intel Corp BDR,00.000.000/0000-00,Encontrado
Johnson & Johnson BDR,,Não Encontrado
JPMorgan Chase & Co BDR,,Não Encontrado
Lockheed Martin Corp BDR,,Não Encontrado
3M Co BDR,,Não Encontrado
Merck & Co Inc BDR,,Não Encontrado
MasterCard Inc BDR,00.000.000/0000-00,Encontrado
Microsoft Corp BDR,,Não Encontrado
Nike Inc BDR,,Não Encontrado
Oracle Corp BDR,,Não Encontrado
Pfizer Inc BDR,,Não Encontrado
Procter & Gamble Co BDR,,Não Encontrado
Starbucks Corp BDR,,Não Encontrado
Verizon Communications Inc BDR,,Não Encontrado
